SDE_Type,Feature_Name,Total_Field_Count,Record_Count,Path,Review Date,Comments
_oc_qaqc_CO,No table data/connection,No table data/connection,No table data/connection,No fc data/connection,2020-02-23 15:20:45.774,
_oc_qaqc_CO,No fc data/connection,No fc data/connection,No fc data/connection,No table data/connection,2020-02-23 15:20:45.774,
_oc_qaqc_ES,No table data/connection,No table data/connection,No table data/connection,No fc data/connection,2020-02-23 15:20:45.774,
_oc_qaqc_ES,ilmocid.ilmocdbo.signs_pt,43,3828,No table data/connection,2020-02-23 15:20:45.774,
_oc_qaqc_ID,ilmocid.ilmocdbo.signs_maint_tbl,21,2698,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_ID.sde\ilmocid.ILMOCDBO.signs\ilmocid.ILMOCDBO.signs_pt,2020-02-23 15:20:45.774,
_oc_qaqc_ID,No fc data/connection,No fc data/connection,No fc data/connection,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_ID.sde\ilmocid.ILMOCDBO.signs_maint_tbl,2020-02-23 15:20:45.774,
_oc_qaqc_MT,No table data/connection,No table data/connection,No table data/connection,No fc data/connection,2020-02-23 15:20:45.774,
_oc_qaqc_MT,No fc data/connection,No fc data/connection,No fc data/connection,No table data/connection,2020-02-23 15:20:45.774,
_oc_qaqc_NM,ilmocnm.ilmocdbo.signs_maint_tbl,21,0,No fc data/connection,2020-02-23 15:20:45.774,
_oc_qaqc_NM,ilmocnv.ilmocdbo.signs_pt,42,6555,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_NM.sde\ilmocnm.ILMOCDBO.signs_maint_tbl,2020-02-23 15:20:45.774,
_oc_qaqc_NV,ilmocnv.ilmocdbo.signs_maint_tbl,21,6554,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_NV.sde\ilmocnv.ILMOCDBO.SIGNS\ilmocnv.ILMOCDBO.signs_pt,2020-02-23 15:20:45.774,
_oc_qaqc_NV,No fc data/connection,No fc data/connection,No fc data/connection,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_NV.sde\ilmocnv.ILMOCDBO.signs_maint_tbl,2020-02-23 15:20:45.774,
_oc_qaqc_ORWA,ilmocor.ilmocdbo.signs_maint_tbl,22,947,No fc data/connection,2020-02-23 15:20:45.774,
_oc_qaqc_ORWA,No fc data/connection,No fc data/connection,No fc data/connection,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_ORWA.sde\ilmocor.ILMOCDBO.SIGNS_MAINT_TBL,2020-02-23 15:20:45.774,
_oc_qaqc_UT,No table data/connection,No table data/connection,No table data/connection,No fc data/connection,2020-02-23 15:20:45.774,
_oc_qaqc_UT,ilmocwy.ilmocdbo.signs_pt,42,151,No table data/connection,2020-02-23 15:20:45.774,
_oc_qaqc_WY,ilmocwy.ilmocdbo.signs_maint_tbl,22,0,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_WY.sde\ilmocwy.ILMOCDBO.SIGNS\ilmocwy.ILMOCDBO.signs_pt,2020-02-23 15:20:45.774,
